Project ID,Project Name,Country / Economy,Type,Project Type / Modality of Assistance,Project Status,Some ID,Approval,Approval1,Some Number,Geographical Location,Sector / Subsector,W,X,Y,Z,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,A,B,C,ADB URL,Project Link,Description,link_visited_already
40282-012,Geo-Information Technology for Hazard Risk Assessment,Viet Nam,Sovereign,Technical Assistance,Closed,7220,8/12/08,12/8/08,0,,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Southeast Asia Department,Ministry of Agriculture and Rural Development,"Ellingson, Dennis",,,,https://www.adb.org/projects/40282-012/main,https://www.adb.org/projects/40282-012/main,,FALSE
42024-012,Preparing National Guidelines for Eco-Compensation in River Basins and a Framework for Soil Pollution Management,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7217,8/12/08,12/8/08,"400,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,East Asia Department,"Ministry of Ecology and Environment former ""Ministry of Environmental Protection""","Lopez, Alvin",,,,https://www.adb.org/projects/42024-012/main,https://www.adb.org/projects/42024-012/main,,FALSE
40282-023,Emergency Rehabilitation of Calamity Damage Project (Supplementary),Viet Nam,Sovereign,Loan,Closed,2273,8/12/08,12/8/08,"25,500,000.00",,"Agriculture, natural resources and rural development | Transport",Irrigation | Rural flood protection | Road transport (non-urban),B,B,B,Southeast Asia Department,Ministry of Agriculture & Rural Development (MARD),"Ho, Phong Le",,,,https://www.adb.org/projects/40282-023/main,https://www.adb.org/projects/40282-023/main,,FALSE
39590-012,Additional Works for Preparation of the Hill Torrents Management Project,Pakistan,Sovereign,Technical Assistance,Closed,4719,8/12/05,12/8/05,"150,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,Central and West Asia Department,Irrigation Department of the Government of Punjab,"Tambunan, Binsar P.",,,,https://www.adb.org/projects/39590-012/main,https://www.adb.org/projects/39590-012/main,,FALSE
55020-001,Infrastructure Improvement for Shrimp Aquaculture Project,Indonesia,Sovereign,Loan,Active,4283,14/12/2022,12/14/22,"93,000,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agriculture research and application | Agro-industry, marketing, and trade | Fishery | Irrigation",B,B,C,Sectors Group,Ministry of Marine Affairs & Fisheries,"Lawira, Helena",,,,https://www.adb.org/projects/55020-001/main,https://www.adb.org/projects/55020-001/main,,FALSE
53354-004,"Supporting Evaluations for Development Effectiveness in Asia and the Pacific, 2023-2024 (Subproject 3)",Regional,Sovereign,Technical Assistance,Active,10055,15/12/2022,12/15/22,"2,100,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Finance | Health | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Agricultural production | Agriculture research and application | Agro-industry, marketing, and trade | Rural market infrastructure | Education sector development | Energy sector development and institutional reform | Finance sector development | Inclusive finance | Infrastructure finance and investment funds | Small and medium enterprise finance and leasing | Health sector development and reform | Health system development | Public administration | Public expenditure and fiscal management | Road transport (non-urban) | Transport policies and institutional development | Other urban services | Urban policy, institutional and capacity development",,,,Independent Evaluation Department,Asian Development Bank,"Abello, Eduardo P.",,,,https://www.adb.org/projects/53354-004/main,https://www.adb.org/projects/53354-004/main,,FALSE
56366-001,Improving Safeguard Planning and Implementation in Mongolia,Mongolia,Sovereign,Technical Assistance,Active,10051,15/12/2022,12/15/22,"225,000.00",Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Office of Safeguards,Asian Development Bank,"Sasaki, Shotaro",,,,https://www.adb.org/projects/56366-001/main,https://www.adb.org/projects/56366-001/main,,FALSE
56316-001,"Legal Toolkit for the Protection of Vital Ecosystems for Climate, Biodiversity, and Livelihoods",Regional,Sovereign,Technical Assistance,Active,10061,19/12/2022,12/19/22,"1,075,000.00",Regional,"Agriculture, natural resources and rural development",Forestry,,,,Office of the General Counsel,Asian Development Bank,"Pak, Christina U.",,,,https://www.adb.org/projects/56316-001/main,https://www.adb.org/projects/56316-001/main,,FALSE
55324-001,Clean Energy Project,"Micronesia, Federated States of",Sovereign,Grant,Active,6050,20/12/2022,12/20/22,"5,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Water and other urban infrastructure and services",Rural water supply services | Energy sector development and institutional reform | Energy utility services | Renewable energy generation - small hydro | Renewable energy generation - solar | Public administration | Urban water supply,B,C,C,Sectors Group,Department of Finance and Administration,"George, Len V.",,,,https://www.adb.org/projects/55324-001/main,https://www.adb.org/projects/55324-001/main,,FALSE
56264-001,Promoting Climate-Resilient and Sustainable Blue Economies,Regional,Sovereign,Technical Assistance,Active,10074,22/12/2022,12/22/22,"2,500,000.00","Cook Islands - Nation-wide; Fiji - Nation-wide; Kiribati - Nation-wide; Marshall Islands - Nation-wide; Micronesia, Federated States of - Nation-wide; Nauru - Nation-wide; Niue - Nation-wide; Palau - Nation-wide; Papua New Guinea - Nation-wide; Samoa - Nation-wide; Solomon Islands - Nation-wide; Timor-Leste - Nation-wide; Tonga - Nation-wide; Tuvalu - Nation-wide; Vanuatu - Nation-wide","Agriculture, natural resources and rural development | Public sector management",Fishery | Water-based natural resources management | Public administration,,,,Climate Change and Sustainable Development Department,Asian Development Bank,"Ovenden, Melody F.",,,,https://www.adb.org/projects/56264-001/main,https://www.adb.org/projects/56264-001/main,,FALSE
54111-010,Preparing and Implementing Gender-Inclusive Projects in Central and West Asia - Preparing Resilient Livelihoods and Empowerment of Rural Women Project (Subproject 14),Tajikistan,Sovereign,Technical Assistance,Active,10081,23/12/2022,12/23/22,"500,000.00",Viloyati Khatlon,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Climate Change and Sustainable Development Department,Asian Development Bank,"Rosero, Mary Alice",,,,https://www.adb.org/projects/54111-010/main,https://www.adb.org/projects/54111-010/main,,FALSE
50288-005,Strengthening Infrastructure Capacity and Innovation for Inclusive Growthâ€“Phase 2,Philippines,Sovereign,Technical Assistance,Active,10084,28/12/2022,12/28/22,"1,060,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services","Rural flood protection | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Sectors Group,Department of Finance,"Gonzalez Jimenez, Juan Francisco",,,,https://www.adb.org/projects/50288-005/main,https://www.adb.org/projects/50288-005/main,,FALSE
45064-001,Low-Carbon and Resilient Development Program,Indonesia,Sovereign,Technical Assistance,Closed,2805 | 7909,8/11/11,11/8/11,"100,000,000.00",,"Agriculture, natural resources and rural development | Energy",Land-based natural resources management | Water-based natural resources management | Energy efficiency and conservation | Renewable energy generation - geothermal,C,C,C,Southeast Asia Department,National Development Planning Agency (BAPPENAS),"Budiman, Renadi",,,,https://www.adb.org/projects/45064-001/main,https://www.adb.org/projects/45064-001/main,,FALSE
27182-013,NWFP Urban Development Sector,Pakistan,Sovereign,Loan,Closed,1854,8/11/01,11/8/01,"20,800,000.00",,"Agriculture, natural resources and rural development | Finance | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Finance sector development | Road transport (non-urban) | Urban flood protection | Urban sanitation | Urban sewerage | Urban solid waste management | Urban water supply",B,,,Central and West Asia Department,"Local Government, Elections & Rural Devt.,NWFP",William A. Costin,,,,https://www.adb.org/projects/27182-013/main,https://www.adb.org/projects/27182-013/main,,FALSE
42091-043,Water Resources Development Investment Program - Project 2,Afghanistan,Sovereign,Grant,Active,362,8/10/13,10/8/13,"100,000,000.00","Dasht-e Archi, Imam Sahib, Kwhaja Ghar, Nahr-e Archi, Wilayat-e Takhar","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Irrigation",B,C,B,Sectors Group,,ADB Disclosure,,,,https://www.adb.org/projects/42091-043/main,https://www.adb.org/projects/42091-043/main,,FALSE
46085-001,Pilot Implementation of the Drought Management Strategy,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8185,8/10/12,10/8/12,"400,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,East Asia Department,Ministry of Water Resources,"Kobayashi, Yoshiaki",,,,https://www.adb.org/projects/46085-001/main,https://www.adb.org/projects/46085-001/main,,FALSE
53353-002,Competitive and Inclusive Agriculture Development Program (Subprogram 2),Philippines,Sovereign,Loan,Closed,4288,26/01/2023,1/26/23,"500,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance | Public sector management","Agricultural policy, institutional and capacity development | Agricultural production | Irrigation | Land-based natural resources management | Rural flood protection | Small and medium enterprise finance and leasing | Social protection initiatives",C,C,C,Sectors Group,Department of Finance,"Ueda, Takeshi",,,,https://www.adb.org/projects/53353-002/main,https://www.adb.org/projects/53353-002/main,,FALSE
53189-002,"Himachal Pradesh Subtropical Horticulture, Irrigation, and Value Addition Project",India,Sovereign,Loan,Active,4291,8/2/23,2/8/23,"130,000,000.00","Bilaspur, Hamirpur, Kangra, Mandi, Sirmaur, Solan, Una","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agriculture research and application | Agro-industry, marketing, and trade | Irrigation | Rural market infrastructure",B,C,C,Sectors Group,"Department of Horticulture, Government of Himachal Pradesh","Lopez, Dennis A.",,,,https://www.adb.org/projects/53189-002/main,https://www.adb.org/projects/53189-002/main,,FALSE
45509-001,Chongqing Urban and Rural Infrastructure Development II Project,"China, People's Republic of",Sovereign,Technical Assistance,Closed,7858,8/9/11,9/8/11,"800,000.00",,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Irrigation | Road transport (non-urban) | Urban water supply,,,,East Asia Department,Chongqing Municipal Government,"Ishii, Satoshi",,,,https://www.adb.org/projects/45509-001/main,https://www.adb.org/projects/45509-001/main,,FALSE
40046-022,Community Participatory Flood Management,Tajikistan,Sovereign,Grant,Closed,9126,8/9/08,9/8/08,0,,"Agriculture, natural resources and rural development",,B,C,C,Central and West Asia Department,Agency for Technical Cooperation and Development,"Chyngysheva, Asel",,,,https://www.adb.org/projects/40046-022/main,https://www.adb.org/projects/40046-022/main,,FALSE
49430-005,Aimags and Soums Green Regional Development Investment Program,Mongolia,Sovereign,Grant | Loan,Active,116,22/03/2023,3/22/23,"273,000,000.00",Mongolia,"Agriculture, natural resources and rural development | Energy | Finance | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Irrigation | Land-based natural resources management | Livestock | Electricity transmission and distribution | Energy efficiency and conservation | Energy utility services | Renewable energy generation - solar | Finance sector development | Small and medium enterprise finance and leasing | Urban roads and traffic management | Other urban services | Urban housing | Urban policy, institutional and capacity development | Urban slum development | Urban solid waste management",,,,Sectors Group,,"Mamatkulov, Raushanbek",,,,https://www.adb.org/projects/49430-005/main,https://www.adb.org/projects/49430-005/main,,FALSE
49430-006,Aimags and Soums Green Regional Development Investment Program - Tranche 1,Mongolia,Sovereign,Grant | Loan,Active,0885 | 0886 | 4306 | 4307 | 8441,22/03/2023,3/22/23,"93,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Finance | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Agricultural production | Irrigation | Land-based natural resources management | Livestock | Water-based natural resources management | Electricity transmission and distribution | Energy efficiency and conservation | Energy utility services | Finance sector development | Small and medium enterprise finance and leasing | Road transport (non-urban) | Urban roads and traffic management | Other urban services | Urban flood protection | Urban housing | Urban policy, institutional and capacity development | Urban sewerage | Urban slum development | Urban solid waste management | Urban water supply",B,C,B,Sectors Group,Ministry of Economy and Development,"Mamatkulov, Raushanbek",,,,https://www.adb.org/projects/49430-006/main,https://www.adb.org/projects/49430-006/main,,FALSE
56339-001,Flood Reconstruction Emergency Assistance Project (FREAP),Bangladesh,Sovereign,Loan | Technical Assistance,Active,10097 | 4305,22/03/2023,3/22/23,"231,000,000.00",Sylhet Division,"Agriculture, natural resources and rural development | Transport",Agricultural production | Rural flood protection | Rural market infrastructure | Rural sanitation | Rural water supply services | Rail transport (non-urban),B,C,B,Sectors Group,Bangladesh Railway,"Kabir, Md. Humayun",,,,https://www.adb.org/projects/56339-001/main,https://www.adb.org/projects/56339-001/main,,FALSE
43126-012,"Regional Cooperation on Knowledge Management, Policy, and Institutional Support to the Coral Triangle Initiative",Regional,Sovereign,Technical Assistance,Closed,7307,8/7/09,7/8/09,"500,000.00",Regional,"Agriculture, natural resources and rural development",Fishery,,,,Southeast Asia Department,Asian Development Bank,"Ramachandran, Pavit",,,,https://www.adb.org/projects/43126-012/main,https://www.adb.org/projects/43126-012/main,,FALSE
45145-001,Establishment of Climate-Resilient Rural Livelihoods,Mongolia,Sovereign,Grant,Closed,9164,8/6/12,6/8/12,0,,"Agriculture, natural resources and rural development",,B,C,C,East Asia Department,"Ministry of Food, Agriculture, and Light Industry (MOFALI)","Ueda, Takeshi",,,,https://www.adb.org/projects/45145-001/main,https://www.adb.org/projects/45145-001/main,,FALSE
37292-012,High Mountain Agribusiness and Livelihood Improvement (HIMALI) Project,Nepal,Sovereign,Technical Assistance,Closed,7298,8/6/09,6/8/09,"1,510,000.00",,"Agriculture, natural resources and rural development",Agricultural production,B,B,C,South Asia Department,Ministry of Agriculture and Cooperatives,"Rana, Arun S.",,,,https://www.adb.org/projects/37292-012/main,https://www.adb.org/projects/37292-012/main,,FALSE
31197-013,Community-Based Infrastructure Services Sector,Kyrgyz Republic,Sovereign,Loan | Technical Assistance,Closed,1742 | 3452,8/6/00,6/8/00,"36,650,000.00",,"Agriculture, natural resources and rural development | Health | Transport | Water and other urban infrastructure and services","Rural flood protection | Rural sanitation | Rural water policy, institutional and capacity development | Rural water supply services | Health sector development and reform | Road transport (non-urban) | Urban sewerage | Urban water supply",B,,,Central and West Asia Department,Ministry of Agriculture and Water Resources,"Mambetova, Cholpon",,,,https://www.adb.org/projects/31197-013/main,https://www.adb.org/projects/31197-013/main,,FALSE
56254-001,Strengthening Food Security Post-COVID-19 and Global Food and Fertilizer Price Crises,Mongolia,Sovereign,Technical Assistance,Active,10099,11/4/23,4/11/23,0,Nation-wide,"Agriculture, natural resources and rural development | Industry and trade","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Small and medium enterprise development",,,,Sectors Group,"Ministry of Food, Agriculture, and Light Industry (MOFALI)","Yanoma, Yukitsugu",,,,https://www.adb.org/projects/56254-001/main,https://www.adb.org/projects/56254-001/main,,FALSE
46081-001,Henan Value Chain and Products Safety Demonstration Project,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8352,8/4/13,4/8/13,"730,000.00",Henan Sheng,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Livestock",,,,East Asia Department,Henan Provincial Government (HPG),"Ueda, Takeshi",,,,https://www.adb.org/projects/46081-001/main,https://www.adb.org/projects/46081-001/main,,FALSE
37290-012,Community Self-Reliance and Flood Risk Reduction,Cambodia,Sovereign,Technical Assistance,Closed,4574,8/4/05,4/8/05,0,,"Agriculture, natural resources and rural development",Rural flood protection,,,,Southeast Asia Department,Ministry of Water Resources and Meteorology,Ian Fox,,,,https://www.adb.org/projects/37290-012/main,https://www.adb.org/projects/37290-012/main,,FALSE
57068-001,Sustainable Safeguard Policy Applications in the Central and West Asia Region,Regional,Sovereign,Technical Assistance,Active,10110,9/6/23,6/9/23,"1,000,000.00",Armenia - Nation-wide; Azerbaijan - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport | Water and other urban infrastructure and services",Water-based natural resources management | Energy sector development and institutional reform | Public administration | Road transport (non-urban) | Other urban services,,,,Office of Safeguards,Asian Development Bank,"Pajarillaga, Ninette R.",,,,https://www.adb.org/projects/57068-001/main,https://www.adb.org/projects/57068-001/main,,FALSE
48218-011,Rural Connectivity Improvement Project - Additional Financing,Nepal,Sovereign,Loan | Technical Assistance,Active,10113 | 4320,13/06/2023,6/13/23,"101,000,000.00","Bagmati Province, Gandaki, Karnali, Koshi, Lumbini Province","Agriculture, natural resources and rural development",Rural market infrastructure,B,C,B,Sectors Group,Ministry of Urban Development,"Tiwari, Hemant",,,,https://www.adb.org/projects/48218-011/main,https://www.adb.org/projects/48218-011/main,,FALSE
56362-001,Advancing Gender Equality and Social Inclusion in South Asia Operations,Regional,Sovereign,Technical Assistance,Active,10114,16/06/2023,6/16/23,"3,250,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Finance | Health | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Finance sector development | Health sector development and reform | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,South Asia Department,Asian Development Bank,"Tornieri, Francesco",,,,https://www.adb.org/projects/56362-001/main,https://www.adb.org/projects/56362-001/main,,FALSE
47243-006,Rural Connectivity Improvement Project-Second Additional Financing,Bangladesh,Sovereign,Loan,Active,4327,10/7/23,7/10/23,"190,000,000.00",Nation-wide,"Agriculture, natural resources and rural development",Rural market infrastructure,B,C,C,Sectors Group,Local Government Engineering Department,"Das, Amrita Kumar",,,,https://www.adb.org/projects/47243-006/main,https://www.adb.org/projects/47243-006/main,,FALSE
54047-001,Climate-Resilient Livelihood Improvement and Watershed Management in Chittagong Hill Tracts Sector Project,Bangladesh,Sovereign,Loan,Active,4333,19/07/2023,7/19/23,"120,000,000.00","Bandarban, Khagrachari, Rangamati","Agriculture, natural resources and rural development",Agricultural production | Forestry | Rural market infrastructure | Rural sanitation,B,A,A,Sectors Group,Ministry of Chittagong Hill Tracts Affairs Bangladesh,"Rana, Md. Sohel",,,,https://www.adb.org/projects/54047-001/main,https://www.adb.org/projects/54047-001/main,,FALSE
57051-001,Strengthening Womenâ€™s Resilience to Heat Stress in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Active,10127,10/8/23,8/10/23,"2,885,000.00",Bangladesh - Nation-wide; Cambodia - Nation-wide; Pakistan - Nation-wide; Sri Lanka - Nation-wide; Tajikistan - Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Agricultural production | Other urban services | Urban policy, institutional and capacity development",,,,Climate Change and Sustainable Development Department,Asian Development Bank,"Woods, Zonibel",,,,https://www.adb.org/projects/57051-001/main,https://www.adb.org/projects/57051-001/main,,FALSE
54256-001,Horticulture Development in Dryland Areas Sector Project,Indonesia,Sovereign,Loan,Active,4338 | 8453,21/08/2023,8/21/23,"85,000,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade | Irrigation | Land-based natural resources management",B,B,C,Sectors Group,Directorate General of Horticulture,"Quincieu, Eric",,,,https://www.adb.org/projects/54256-001/main,https://www.adb.org/projects/54256-001/main,,FALSE
57139-001,Strategic Sector Planning for Agriculture and Tourism in Mongolia,Mongolia,Sovereign,Technical Assistance,Active,10144,31/08/2023,8/31/23,"225,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Sectors Group,Ministry of Economy and Development,"Yanoma, Yukitsugu",,,,https://www.adb.org/projects/57139-001/main,https://www.adb.org/projects/57139-001/main,,FALSE
57149-001,Enhancing Social Safeguards Capacity in the Central and West Asia Region,Regional,Sovereign,Technical Assistance,Active,10143,4/9/23,9/4/23,"1,000,000.00",Armenia - Nation-wide; Azerbaijan - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Public sector management | Transport | Water and other urban infrastructure and services",Water-based natural resources management | Pre-primary and primary | Energy sector development and institutional reform | Public administration | Road transport (non-urban) | Other urban services,,,,Office of Safeguards,Asian Development Bank,"Shibuya, Yukihiro",,,,https://www.adb.org/projects/57149-001/main,https://www.adb.org/projects/57149-001/main,,FALSE
56342-001,Supporting Regional Actions to Address Climate Change under the Central Asia Regional Economic Cooperation Program,Regional,Sovereign,Technical Assistance,Active,10145,5/9/23,9/5/23,"750,000.00",Azerbaijan - Nation-wide; China - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Mongolia - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Central and West Asia Department,Asian Development Bank,"Rosbach, Kristian",,,,https://www.adb.org/projects/56342-001/main,https://www.adb.org/projects/56342-001/main,,FALSE
56031-001,Strengthening Environmental Resilience and Fostering Sustainable Economy for Lake Sevan,Armenia,Sovereign,Technical Assistance,Active,10148,8/9/23,9/8/23,"200,000.00","Nation-wide, Lake Sevan","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Water-based natural resources management | Urban policy, institutional and capacity development",,,,Sectors Group,Ministry of Environment,"Nakamitsu, Kiyoshi",,,,https://www.adb.org/projects/56031-001/main,https://www.adb.org/projects/56031-001/main,,FALSE
55191-001,Accelerating Sustainable System Development Using Renewable Energy Project,Maldives,Sovereign,Grant | Loan,Active,0900 | 0901 | 0902 | 0903 | 0904 | 4344 | 8454,12/9/23,9/12/23,"50,500,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy","Agricultural policy, institutional and capacity development | Agricultural production | Rural market infrastructure | Energy sector development and institutional reform | Energy utility services | Renewable energy generation - solar | Renewable energy generation - wind",B,C,C,Sectors Group,Ministry of Finance (formerly Ministry of Finance and Treasury),"Kolantharaj, Jaimes",,,,https://www.adb.org/projects/55191-001/main,https://www.adb.org/projects/55191-001/main,,FALSE
51294-001,Integrated Flood Resilience and Adaptation Project - Phase 1,Philippines,Sovereign,Grant | Loan,Active,0905 | 4345,13/09/2023,9/13/23,"303,240,000.00","Abra River, Agus River, Tagum River","Agriculture, natural resources and rural development",Rural flood protection,B,B,A,Sectors Group,Dept. of Public Works & Highways,"Sagara, Junko",,,,https://www.adb.org/projects/51294-001/main,https://www.adb.org/projects/51294-001/main,,FALSE
53237-001,Climate and Disaster Resilient Small-Scale Water Resources Management Project,Bangladesh,Sovereign,Grant | Loan,Active,0906 | 4346 | 8456,19/09/2023,9/19/23,"106,000,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural production | Irrigation | Rural flood protection | Rural market infrastructure | Rural water policy, institutional and capacity development",B,B,B,Sectors Group,Local Government Engineering Department,"Ayubi, Mohammad Hanif",,,,https://www.adb.org/projects/53237-001/main,https://www.adb.org/projects/53237-001/main,,FALSE
57222-001,Nature Solutions Finance Hub for Asia and the Pacific,Regional,Sovereign,Technical Assistance,Closed,10154,27/09/2023,9/27/23,"200,000.00",Regional,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,Climate Change and Sustainable Development Department,Asian Development Bank,"Endo, Isao",,,,https://www.adb.org/projects/57222-001/main,https://www.adb.org/projects/57222-001/main,,FALSE
56283-001,Climate Resilient Brahmaputra Integrated Flood and Riverbank Erosion Risk Management Project in Assam,India,Sovereign,Loan,Active,4352,2/10/23,10/2/23,"200,000,000.00","Barpeta, Dhemaji, Dhubri, Dibrugarh, Marigaon, Nagaon, Tinsukia","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural flood protection | Rural water policy, institutional and capacity development | Urban flood protection",B,B,A,Sectors Group,Flood and River Erosion Management Agency of Assam,"Drieu, Olivier",,,,https://www.adb.org/projects/56283-001/main,https://www.adb.org/projects/56283-001/main,,FALSE
54097-002,Preparing the Sindh Coastal Resilience Sector Project,Pakistan,Sovereign,Technical Assistance,Active,10164,11/10/23,10/11/23,0,Sindh,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Sectors Group,"Planning & Development Department, Sindh","Rive, Nathan A.",,,,https://www.adb.org/projects/54097-002/main,https://www.adb.org/projects/54097-002/main,,FALSE
57108-001,Research on Protection and Restoration Policy of Migratory Birds,"China, People's Republic of",Sovereign,Technical Assistance,Active,10158,16/10/2023,10/16/23,"750,000.00",Nation-wide,"Agriculture, natural resources and rural development",Land-based natural resources management | Water-based natural resources management,,,,Sectors Group,National Development and Reform Commission,"Bezuijen, Mark R.",,,,https://www.adb.org/projects/57108-001/main,https://www.adb.org/projects/57108-001/main,,FALSE
53078-001,Shanxi Low-Carbon and Inclusive Rural Development Project,"China, People's Republic of",Sovereign,Loan,Active,4358,18/10/2023,10/18/23,"160,000,000.00","Nation-wide, Shanxi","Agriculture, natural resources and rural development | Energy | Finance | Information and communication technology",Rural sanitation | Rural water supply services | Water-based natural resources management | Energy efficiency and conservation | Renewable energy generation - biomass and waste | Infrastructure finance and investment funds | ICT industries and ICT-enabled services,B,C,B,Sectors Group,Shanxi Provincial Government,"Liu, Xinjian",,,,https://www.adb.org/projects/53078-001/main,https://www.adb.org/projects/53078-001/main,,FALSE
53343-004,"Mainstreaming Impact Evaluation Methodologies, Approaches, and Capacities in Selected Developing Member Countries, Subproject 3",Regional,Sovereign,Technical Assistance,Active,10165,24/10/2023,10/24/23,"1,500,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Health | Transport","Agricultural policy, institutional and capacity development | Education sector development | Energy sector development and institutional reform | Health sector development and reform | Transport policies and institutional development",,,,Economic Research and Development Impact Department,Asian Development Bank,"Mahmud, Minhaj U.",,,,https://www.adb.org/projects/53343-004/main,https://www.adb.org/projects/53343-004/main,,FALSE
46075-001,"Supporting Evaluation Outreach, Knowledge-Sharing, and Partnership Initiatives in Selected Developing Member Countries",Regional,Sovereign,Technical Assistance,Closed,8242,7/12/12,12/7/12,"400,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Finance | Industry and trade | Public sector management | Transport | Water and other urban infrastructure and services","Land-based natural resources management | Education sector development | Energy efficiency and conservation | Inclusive finance | Trade and services | Social protection initiatives | Road transport (non-urban) | Urban policy, institutional and capacity development | Urban water supply",,,,Independent Evaluation Department,Asian Development Bank,"Van Rijn, Johannes Jacobus Frederik",,,,https://www.adb.org/projects/46075-001/main,https://www.adb.org/projects/46075-001/main,,FALSE
43166-082,Advanced Project Preparedness for Poverty Reduction - Capacity Development for Community-based Flood Risk Management in Assam (Subproject 10),India,Sovereign,Technical Assistance,Closed,7722,7/12/10,12/7/10,0,,"Agriculture, natural resources and rural development",Irrigation,,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Totsuka, Natsuko",,,,https://www.adb.org/projects/43166-082/main,https://www.adb.org/projects/43166-082/main,,FALSE
42248-012,Second Chittagong Hill Tracts Rural Development Project (CHTRDP II),Bangladesh,Sovereign,Technical Assistance,Closed,7432,7/12/09,12/7/09,"900,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Irrigation | Land-based natural resources management",B,A,B,South Asia Department,Ministry of Chittagong Hill Tracts Affairs Bangladesh,"Siddiqi, Yasmin S.",,,,https://www.adb.org/projects/42248-012/main,https://www.adb.org/projects/42248-012/main,,FALSE
43169-012,Support for the National Action Plan on Climate Change,India,Sovereign,Technical Assistance,Closed,7417,7/12/09,12/7/09,"950,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,South Asia Department,Ministry of Water Resources,"Samarasekara, Vidhisha",,,,https://www.adb.org/projects/43169-012/main,https://www.adb.org/projects/43169-012/main,,FALSE
